participant,FP,logFP,condition,FPType,conFPDur,orientation,prevOri,seqOri,oneBackFP,block,countBalance,condTestPos,meanRT,meanLogRT,meanRTzscore,meanInvRT,numFP,numOneBackFP,numLogFP,squaredNumFP,squaredNumLogFP,scaledNumFP,squaredScaledNumFP,scaledNumOneBackFP
1,1,0,action,constant,short,left,right,different,1,0,1,1,0.42268550395965576,-0.3859512399381791,-0.5048785558259647,2.4887287871575525,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
1,1,0,action,constant,short,left,left,same,1,0,1,1,0.4179724454879761,-0.385977453083658,-0.5498151452730121,2.4729418679245563,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
1,1,0,action,variable,NA,right,right,same,1,1,1,1,0.4401051998138428,-0.3621432962801132,-0.33879071168066216,2.33413504977301,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
1,1,0,action,variable,NA,right,right,same,1,3,1,1,0.46999871730804443,-0.33749039911519657,-0.05377139124640484,2.217742399425349,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
1,1,0,action,variable,NA,right,right,same,2.8,1,1,1,0.4680289030075073,-0.33459755162991833,-0.0725525578799287,2.1850821883864087,1,2.8,0,1,0,-1.01525955503275,1.0307519640852973,0.9968304199190299
1,1,0,action,variable,NA,right,right,same,2.8,3,1,1,0.5185500383377075,-0.29237445355888153,0.40914049353745074,1.9913145250285902,1,2.8,0,1,0,-1.01525955503275,1.0307519640852973,0.9968304199190299
1,1,0,action,variable,NA,right,left,different,1,1,1,1,0.4199971675872803,-0.3779295106230816,-0.5305104610074738,2.3943126989995216,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
1,1,0,action,variable,NA,right,left,different,1,3,1,1,0.4759065508842468,-0.32581065512631413,0.002556764563780709,2.1334176149698063,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
1,1,0,action,variable,NA,right,left,different,2.8,1,1,1,0.4783170223236084,-0.32111904076411846,0.025539370465086343,2.0987259503926765,1,2.8,0,1,0,-1.01525955503275,1.0307519640852973,0.9968304199190299
1,1,0,action,variable,NA,left,right,different,1,1,1,1,0.3752393722534179,-0.4270838880242741,-0.9572530286115514,2.682107476705092,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
1,1,0,action,variable,NA,left,right,different,1,3,1,1,0.5753396153450012,-0.24450560424811815,0.9505999136109622,1.772436587756072,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
1,1,0,action,variable,NA,left,right,different,2.8,1,1,1,0.4297582507133484,-0.37111877859230863,-0.43744355177426403,2.372118382882711,1,2.8,0,1,0,-1.01525955503275,1.0307519640852973,0.9968304199190299
1,1,0,action,variable,NA,left,right,different,2.8,3,1,1,0.5646070241928101,-0.24978431599912798,0.8482701748209521,1.7837659736347211,1,2.8,0,1,0,-1.01525955503275,1.0307519640852973,0.9968304199190299
1,1,0,action,variable,NA,left,left,same,1,1,1,1,0.3611466884613037,-0.4426561121489225,-1.0916195232304056,2.773332669706819,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
1,1,0,action,variable,NA,left,left,same,1,3,1,1,0.49347877502441406,-0.3068225389066818,0.17009888749797164,2.0272773808636755,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
1,1,0,action,variable,NA,left,left,same,2.8,1,1,1,0.5542749563852946,-0.27631647349218436,0.7497592202051251,1.9683147528229212,1,2.8,0,1,0,-1.01525955503275,1.0307519640852973,0.9968304199190299
1,1,0,action,variable,NA,left,left,same,2.8,3,1,1,0.5403522650400797,-0.2702549178491664,0.6170135161708389,1.875819509337837,1,2.8,0,1,0,-1.01525955503275,1.0307519640852973,0.9968304199190299
1,2.8,0.447158031342219,external,constant,long,right,right,same,2.8,4,1,2,0.47375319220802997,-0.33127310945937477,-0.017974403327906095,2.174157359729058,2.8,2.8,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,0.9968304199190299
1,2.8,0.447158031342219,external,constant,long,right,left,different,2.8,4,1,2,0.4773024250479305,-0.3246233555677954,0.015865707066851635,2.12798211070955,2.8,2.8,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,0.9968304199190299
1,2.8,0.447158031342219,external,constant,long,left,right,different,2.8,4,1,2,0.49931028683980305,-0.3100037413747265,0.22569935455739035,2.084853380568766,2.8,2.8,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,0.9968304199190299
1,2.8,0.447158031342219,external,constant,long,left,left,same,2.8,4,1,2,0.45347564870660956,-0.3482847485113199,-0.2113103555112509,2.254582144784966,2.8,2.8,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,0.9968304199190299
1,2.8,0.447158031342219,external,constant,long,left,left,same,NA,4,1,2,0.7205390930175781,-0.14234245146173746,2.3350022831773494,1.387849749847791,2.8,NA,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,NA
1,2.8,0.447158031342219,external,variable,NA,right,right,same,1,6,1,2,0.4588802337646484,-0.34266556020036915,-0.15978041559132772,2.2224178569895496,2.8,1,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,-0.9968304199190299
1,2.8,0.447158031342219,external,variable,NA,right,right,same,1,7,1,2,0.4197387218475342,-0.38508282583515463,-0.5329746082636755,2.471307635862612,2.8,1,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,-0.9968304199190299
1,2.8,0.447158031342219,external,variable,NA,right,right,same,2.8,6,1,2,0.4932811260223388,-0.30690550124404664,0.1682144058786065,2.0272415611431964,2.8,2.8,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,0.9968304199190299
1,2.8,0.447158031342219,external,variable,NA,right,right,same,2.8,7,1,2,0.46110296249389643,-0.3377128886936864,-0.13858783990856122,2.1839707837024043,2.8,2.8,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,0.9968304199190299
1,2.8,0.447158031342219,external,variable,NA,right,left,different,1,6,1,2,0.4370114803314209,-0.35951480204194297,-0.36828773640065837,2.288350001117027,2.8,1,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,-0.9968304199190299
1,2.8,0.447158031342219,external,variable,NA,right,left,different,1,7,1,2,0.45904505252838135,-0.343374586852348,-0.158208953415855,2.2321577171239775,2.8,1,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,-0.9968304199190299
1,2.8,0.447158031342219,external,variable,NA,right,left,different,2.8,6,1,2,0.5150744915008545,-0.30073661954690956,0.37600294129825984,2.057516286238364,2.8,2.8,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,0.9968304199190299
1,2.8,0.447158031342219,external,variable,NA,right,left,different,2.8,7,1,2,0.4765970706939697,-0.32196072599308234,0.009140515939034054,2.0992918546919537,2.8,2.8,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,0.9968304199190299
1,2.8,0.447158031342219,external,variable,NA,left,right,different,1,6,1,2,0.5214257836341858,-0.304976692306698,0.4365592464594927,2.109563193957554,2.8,1,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,-0.9968304199190299
1,2.8,0.447158031342219,external,variable,NA,left,right,different,1,7,1,2,0.5531824827194214,-0.2622516883792837,0.7393430454642336,1.8508524402727724,2.8,1,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,-0.9968304199190299
