participant,block,trial,practice,condition,FPType,conFPDur,extFixDur,actionTrigLatency,FP,orientation,Acc,responseGiven,response,RT,preRespGiven,preResp,preTime,ITI,countBalance,handedness,oneBackFP
1,1,23,no,action,variable,,,0.631324052810669,2.8,left,1,1,7.0,0.5052530765533447,0,,,0.19,1,right,2.8
1,1,24,no,action,variable,,,0.5232279300689697,2.8,right,1,1,8.0,0.5231149196624756,0,,,0.32,1,right,2.8
1,1,25,no,action,variable,,,0.4150149822235107,2.8,left,1,1,7.0,0.5217421054840088,0,,,0.17,1,right,2.8
1,1,26,no,action,variable,,,0.3456571102142334,1.0,left,1,1,7.0,0.4049010276794433,0,,,0.71,1,right,2.8
1,1,27,no,action,variable,,,0.440364122390747,1.0,right,1,1,8.0,0.4190740585327148,0,,,0.61,1,right,1.0
1,1,28,no,action,variable,,,0.472787857055664,2.8,right,1,1,8.0,0.6137940883636475,0,,,0.68,1,right,1.0
1,1,29,no,action,variable,,,0.4853341579437256,2.8,left,1,1,7.0,0.4588270187377929,0,,,0.22,1,right,2.8
1,1,30,no,action,variable,,,1.1188981533050537,1.0,right,1,1,8.0,0.455441951751709,0,,,0.62,1,right,2.8
1,1,31,no,action,variable,,,0.4570209980010986,1.0,right,1,1,8.0,0.4104928970336914,0,,,0.25,1,right,1.0
1,1,32,no,action,variable,,,0.550544023513794,1.0,right,1,1,8.0,0.3403289318084717,0,,,0.18,1,right,1.0
1,1,33,no,action,variable,,,0.4044740200042724,1.0,left,1,1,7.0,0.345240831375122,0,,,0.17,1,right,1.0
1,1,34,no,action,variable,,,0.4251589775085449,1.0,left,1,1,7.0,0.3412489891052246,0,,,0.53,1,right,1.0
1,1,35,no,action,variable,,,0.5070559978485107,1.0,right,1,1,8.0,0.4458959102630615,0,,,0.6,1,right,1.0
1,1,36,no,action,variable,,,0.4096391201019287,1.0,right,1,1,8.0,0.5017828941345215,0,,,0.18,1,right,1.0
1,1,37,no,action,variable,,,0.591965913772583,2.8,left,1,1,7.0,1.275238037109375,0,,,0.31,1,right,1.0
1,1,38,no,action,variable,,,0.5328350067138672,1.0,left,1,1,7.0,0.4574768543243408,0,,,0.48,1,right,2.8
1,1,39,no,action,variable,,,0.3972270488739013,2.8,right,1,1,8.0,0.4922428131103515,0,,,0.21,1,right,1.0
1,1,40,no,action,variable,,,0.4764111042022705,2.8,left,1,1,7.0,0.4731090068817138,0,,,0.22,1,right,2.8
1,1,41,no,action,variable,,,0.5350551605224609,2.8,right,1,1,8.0,0.3490378856658935,0,,,0.26,1,right,2.8
1,1,42,no,action,variable,,,0.4911839962005615,2.8,left,1,1,7.0,0.513253927230835,0,,,0.34,1,right,2.8
1,1,43,no,action,variable,,,0.8647241592407227,1.0,right,1,1,8.0,0.4429099559783935,0,,,0.22,1,right,2.8
1,1,44,no,action,variable,,,0.7787559032440186,2.8,left,1,1,7.0,0.4131960868835449,0,,,0.3,1,right,1.0
1,1,45,no,action,variable,,,0.6347858905792236,2.8,right,1,1,8.0,0.3839058876037597,0,,,0.41,1,right,2.8
1,1,46,no,action,variable,,,0.6233530044555664,1.0,right,1,1,8.0,0.3983278274536133,0,,,0.18,1,right,2.8
1,1,47,no,action,variable,,,0.7521951198577881,1.0,left,1,1,7.0,0.4052379131317138,0,,,0.18,1,right,1.0
1,1,48,no,action,variable,,,0.4811170101165771,1.0,right,1,1,8.0,0.3626680374145508,0,,,0.36,1,right,1.0
1,1,49,no,action,variable,,,0.5413801670074463,2.8,left,1,1,7.0,0.3786711692810058,0,,,0.26,1,right,1.0
1,1,50,no,action,variable,,,0.5367951393127441,2.8,right,1,1,8.0,0.3810231685638428,0,,,0.18,1,right,2.8
1,1,51,no,action,variable,,,0.6269750595092773,1.0,left,1,1,7.0,0.4229300022125244,0,,,0.23,1,right,2.8
1,1,52,no,action,variable,,,0.7226181030273438,1.0,left,1,1,7.0,0.3729779720306396,0,,,0.17,1,right,1.0
1,1,53,no,action,variable,,,0.6228160858154297,1.0,left,1,1,7.0,0.3692131042480469,0,,,0.38,1,right,1.0
1,1,54,no,action,variable,,,0.5808210372924805,2.8,left,1,1,7.0,0.4448041915893554,0,,,0.55,1,right,1.0
1,1,55,no,action,variable,,,0.4842970371246338,1.0,right,1,1,8.0,0.503607988357544,0,,,0.55,1,right,2.8
1,2,0,no,action,constant,long,,0.8567590713500977,2.8,left,1,1,7.0,0.4852049350738525,0,,,0.49,1,right,
1,2,1,no,action,constant,long,,0.4948198795318603,2.8,left,1,1,7.0,0.4275999069213867,0,,,0.32,1,right,2.8
1,2,2,no,action,constant,long,,0.4793450832366943,2.8,right,1,1,8.0,0.483821153640747,0,,,0.25,1,right,2.8
1,2,3,no,action,constant,long,,0.5254659652709961,2.8,left,1,1,7.0,0.4087438583374023,0,,,0.21,1,right,2.8
1,2,4,no,action,constant,long,,0.5625278949737549,2.8,right,1,1,8.0,0.4419910907745361,0,,,0.41,1,right,2.8
1,2,5,no,action,constant,long,,0.4735569953918457,2.8,right,1,1,8.0,0.4945051670074463,0,,,0.29,1,right,2.8
1,2,6,no,action,constant,long,,0.5284509658813477,2.8,left,1,1,7.0,0.3818120956420898,0,,,0.31,1,right,2.8
1,2,7,no,action,constant,long,,0.6295788288116455,2.8,right,1,1,8.0,0.4402210712432861,0,,,0.61,1,right,2.8
1,2,8,no,action,constant,long,,0.577394962310791,2.8,right,1,1,8.0,0.4306240081787109,0,,,0.39,1,right,2.8
1,2,9,no,action,constant,long,,0.4604971408843994,2.8,right,1,1,8.0,0.4067420959472656,0,,,0.32,1,right,2.8
1,2,10,no,action,constant,long,,0.584446907043457,2.8,right,1,1,8.0,0.3866770267486572,0,,,0.32,1,right,2.8
1,2,11,no,action,constant,long,,0.7104852199554443,2.8,left,1,1,7.0,0.3854429721832275,0,,,0.18,1,right,2.8
1,2,12,no,action,constant,long,,0.4973330497741699,2.8,left,1,1,7.0,0.5344328880310059,0,,,0.27,1,right,2.8
1,2,13,no,action,constant,long,,0.5805320739746094,2.8,right,1,1,8.0,0.4384369850158691,0,,,0.33,1,right,2.8
1,2,14,no,action,constant,long,,0.5281920433044434,2.8,right,1,1,8.0,0.3781180381774902,0,,,0.28,1,right,2.8
1,2,15,no,action,constant,long,,0.5978989601135254,2.8,left,1,1,7.0,0.4532270431518554,0,,,0.52,1,right,2.8
1,2,16,no,action,constant,long,,0.6131410598754883,2.8,left,1,1,7.0,0.4619169235229492,0,,,0.42,1,right,2.8
1,2,17,no,action,constant,long,,0.6135098934173584,2.8,left,1,1,7.0,0.4186079502105713,0,,,0.4,1,right,2.8
1,2,18,no,action,constant,long,,0.6624259948730469,2.8,left,1,1,7.0,0.532221794128418,0,,,0.25,1,right,2.8
1,2,19,no,action,constant,long,,0.4919459819793701,2.8,left,1,1,7.0,0.4085619449615478,0,,,0.71,1,right,2.8
1,2,20,no,action,constant,long,,0.4857790470123291,2.8,right,1,1,8.0,0.3927240371704101,0,,,0.17,1,right,2.8
1,2,21,no,action,constant,long,,0.6646411418914795,2.8,left,1,1,7.0,0.3915448188781738,0,,,0.28,1,right,2.8
1,2,22,no,action,constant,long,,0.689478874206543,2.8,right,1,1,8.0,0.398820161819458,0,,,0.2,1,right,2.8
1,2,23,no,action,constant,long,,0.6247251033782959,2.8,left,1,1,7.0,0.455963134765625,0,,,0.22,1,right,2.8
1,2,24,no,action,constant,long,,0.70806884765625,2.8,right,1,1,8.0,0.3288378715515136,0,,,0.18,1,right,2.8
1,2,25,no,action,constant,long,,0.4688048362731933,2.8,left,1,1,7.0,0.5947661399841309,0,,,0.64,1,right,2.8
1,2,26,no,action,constant,long,,0.6185250282287598,2.8,right,1,1,8.0,0.414417028427124,0,,,0.26,1,right,2.8
1,2,27,no,action,constant,long,,0.7746901512145996,2.8,left,1,1,7.0,0.397317886352539,0,,,0.38,1,right,2.8
1,2,28,no,action,constant,long,,0.6451330184936523,2.8,left,1,1,7.0,0.5103230476379395,0,,,0.38,1,right,2.8
1,2,29,no,action,constant,long,,0.7880270481109619,2.8,left,1,1,7.0,0.4856019020080566,0,,,0.17,1,right,2.8
1,2,30,no,action,constant,long,,1.5297319889068604,2.8,left,1,1,7.0,0.523421049118042,0,,,0.19,1,right,2.8
1,2,31,no,action,constant,long,,0.819472074508667,2.8,left,1,1,7.0,0.4712851047515869,0,,,0.29,1,right,2.8
1,2,32,no,action,constant,long,,0.7091770172119141,2.8,left,1,1,7.0,0.4331741333007812,0,,,0.28,1,right,2.8
1,2,33,no,action,constant,long,,0.4750750064849853,2.8,left,1,1,7.0,0.7012310028076172,0,,,0.27,1,right,2.8
1,2,34,no,action,constant,long,,0.599168062210083,2.8,right,1,1,8.0,0.7783629894256592,0,,,0.33,1,right,2.8
1,2,35,no,action,constant,long,,0.4520559310913086,2.8,right,1,1,8.0,0.5872869491577148,0,,,0.36,1,right,2.8
1,2,36,no,action,constant,long,,0.5527420043945312,2.8,right,1,1,8.0,0.5228619575500488,0,,,0.34,1,right,2.8
1,2,37,no,action,constant,long,,0.4607710838317871,2.8,right,1,1,8.0,0.3928761482238769,0,,,0.31,1,right,2.8
1,2,38,no,action,constant,long,,0.6825859546661377,2.8,right,1,1,8.0,0.4992759227752685,0,,,0.16,1,right,2.8
1,2,39,no,action,constant,long,,0.4710509777069092,2.8,right,1,1,8.0,0.445930004119873,0,,,0.65,1,right,2.8
1,2,40,no,action,constant,long,,0.5373599529266357,2.8,right,1,1,8.0,0.4384129047393799,0,,,0.45,1,right,2.8
1,2,41,no,action,constant,long,,0.5501132011413574,2.8,left,1,1,7.0,0.424670934677124,0,,,0.47,1,right,2.8
1,2,42,no,action,constant,long,,0.4981629848480224,2.8,left,1,1,7.0,0.4179940223693847,0,,,0.26,1,right,2.8
1,2,43,no,action,constant,long,,0.4817738533020019,2.8,left,1,1,7.0,0.3579969406127929,0,,,0.31,1,right,2.8
1,2,44,no,action,constant,long,,0.4859671592712402,2.8,right,1,1,8.0,0.6843991279602051,0,,,0.61,1,right,2.8
1,2,45,no,action,constant,long,,0.4222378730773926,2.8,right,1,1,8.0,0.4691338539123535,0,,,0.42,1,right,2.8
1,2,46,no,action,constant,long,,0.7630279064178467,2.8,right,0,1,7.0,0.4137458801269531,0,,,0.58,1,right,2.8
1,2,47,no,action,constant,long,,1.1873958110809326,2.8,right,1,1,8.0,0.5112991333007812,0,,,0.57,1,right,2.8
1,2,48,no,action,constant,long,,0.9988641738891602,2.8,left,1,1,7.0,0.4607210159301758,0,,,0.27,1,right,2.8
1,2,49,no,action,constant,long,,0.7226691246032715,2.8,left,1,1,7.0,0.3928918838500976,0,,,0.36,1,right,2.8
1,2,50,no,action,constant,long,,0.482651948928833,2.8,right,1,1,8.0,0.5674400329589844,0,,,0.51,1,right,2.8
1,2,51,no,action,constant,long,,0.4531340599060058,2.8,left,1,1,7.0,0.6870059967041016,0,,,0.53,1,right,2.8
1,2,52,no,action,constant,long,,0.6063871383666992,2.8,right,1,1,8.0,0.3737428188323974,0,,,0.18,1,right,2.8
1,2,53,no,action,constant,long,,0.635551929473877,2.8,left,1,1,7.0,0.5310351848602295,0,,,0.29,1,right,2.8
1,2,54,no,action,constant,long,,0.7910418510437012,2.8,right,1,1,8.0,0.4676718711853027,0,,,0.23,1,right,2.8
1,2,55,no,action,constant,long,,0.6697139739990234,2.8,right,1,1,8.0,0.5997729301452637,0,,,0.29,1,right,2.8
1,3,0,no,action,variable,,,1.5232021808624268,2.8,left,1,1,7.0,0.4910500049591064,0,,,0.21,1,right,
1,3,1,no,action,variable,,,0.5511817932128906,1.0,left,1,1,7.0,0.6184549331665039,0,,,0.33,1,right,2.8
1,3,2,no,action,variable,,,0.5124239921569824,2.8,right,1,1,8.0,0.4268429279327392,0,,,0.59,1,right,1.0
1,3,3,no,action,variable,,,0.5287091732025146,1.0,left,1,1,7.0,0.6183950901031494,0,,,0.24,1,right,2.8
1,3,4,no,action,variable,,,0.5904529094696045,2.8,right,1,1,8.0,0.5773019790649414,0,,,0.21,1,right,1.0
1,3,5,no,action,variable,,,0.6551330089569092,2.8,left,1,1,7.0,0.6545870304107666,0,,,0.27,1,right,2.8
1,3,6,no,action,variable,,,0.4865710735321045,1.0,left,1,1,7.0,1.0144431591033936,0,,,0.27,1,right,2.8
1,3,7,no,action,variable,,,0.5383999347686768,2.8,left,1,1,7.0,0.511821985244751,0,,,0.22,1,right,1.0
1,3,8,no,action,variable,,,0.4280738830566406,2.8,left,1,1,7.0,0.4919970035552978,0,,,0.79,1,right,2.8
1,3,9,no,action,variable,,,0.5095291137695312,2.8,right,1,1,8.0,0.3937280178070068,0,,,0.16,1,right,2.8
1,3,10,no,action,variable,,,0.5160009860992432,1.0,left,1,1,7.0,0.5990350246429443,0,,,0.2,1,right,2.8
1,3,11,no,action,variable,,,0.4571239948272705,1.0,left,1,1,7.0,0.4904749393463135,0,,,0.36,1,right,1.0
1,3,12,no,action,variable,,,0.4283699989318847,2.8,right,1,1,8.0,0.4452250003814697,0,,,0.33,1,right,1.0
1,3,13,no,action,variable,,,0.4711308479309082,2.8,right,1,1,8.0,0.4912061691284179,0,,,0.53,1,right,2.8
1,3,14,no,action,variable,,,0.3930048942565918,2.8,left,1,1,7.0,0.4923410415649414,0,,,0.55,1,right,2.8
1,3,15,no,action,variable,,,0.4840209484100342,2.8,right,1,1,8.0,0.4670679569244385,0,,,0.18,1,right,2.8
1,3,16,no,action,variable,,,0.4108889102935791,2.8,right,1,1,8.0,0.5631940364837646,0,,,0.34,1,right,2.8
1,3,17,no,action,variable,,,0.8009810447692871,2.8,right,1,1,8.0,0.6055269241333008,0,,,0.56,1,right,2.8
1,3,18,no,action,variable,,,0.7312889099121094,1.0,right,1,1,8.0,0.5300450325012207,0,,,0.26,1,right,2.8
1,3,19,no,action,variable,,,0.5398960113525391,2.8,right,1,1,8.0,0.413874864578247,0,,,0.3,1,right,1.0
1,3,20,no,action,variable,,,0.6659271717071533,2.8,right,1,1,8.0,0.4392969608306885,0,,,0.32,1,right,2.8
1,3,21,no,action,variable,,,0.707097053527832,2.8,left,1,1,7.0,0.5681791305541992,0,,,0.42,1,right,2.8
1,3,22,no,action,variable,,,0.5739479064941406,2.8,left,1,1,7.0,0.5164840221405029,0,,,0.25,1,right,2.8
1,3,23,no,action,variable,,,0.5725538730621338,2.8,left,1,1,7.0,0.5415139198303223,0,,,0.27,1,right,2.8
1,3,24,no,action,variable,,,0.6914899349212646,1.0,left,1,1,7.0,0.4651069641113281,0,,,0.31,1,right,2.8
1,3,25,no,action,variable,,,0.5030300617218018,1.0,right,1,1,8.0,0.4850649833679199,0,,,0.29,1,right,1.0
1,3,26,no,action,variable,,,0.5048630237579346,1.0,left,1,1,7.0,0.7193801403045654,0,,,0.65,1,right,1.0
1,3,27,no,action,variable,,,0.5011398792266846,2.8,left,1,1,7.0,0.4651839733123779,0,,,0.29,1,right,1.0
1,3,28,no,action,variable,,,0.693152904510498,2.8,right,1,1,8.0,0.4261670112609863,0,,,0.43,1,right,2.8
1,3,29,no,action,variable,,,0.4637918472290039,2.8,right,1,1,8.0,0.4804439544677734,0,,,0.63,1,right,2.8
1,3,30,no,action,variable,,,0.6220300197601318,1.0,right,1,1,8.0,0.6705260276794434,0,,,0.38,1,right,2.8
1,3,31,no,action,variable,,,0.5503809452056885,1.0,right,1,1,8.0,0.6475169658660889,0,,,0.53,1,right,1.0
1,3,32,no,action,variable,,,0.9871959686279296,1.0,left,1,1,7.0,0.5586049556732178,0,,,0.21,1,right,1.0
1,3,33,no,action,variable,,,0.71846604347229,2.8,right,1,1,8.0,0.3594791889190674,0,,,0.56,1,right,1.0
1,3,34,no,action,variable,,,0.5895400047302246,1.0,right,1,1,8.0,0.4178380966186523,0,,,0.77,1,right,2.8
1,3,35,no,action,variable,,,0.5429489612579346,1.0,left,1,1,7.0,0.5192091464996338,0,,,0.17,1,right,1.0
1,3,36,no,action,variable,,,0.5614089965820312,1.0,right,1,1,8.0,0.5658881664276123,0,,,0.31,1,right,1.0
1,3,37,no,action,variable,,,0.4257490634918213,2.8,right,1,1,8.0,0.3585929870605469,0,,,0.16,1,right,1.0
1,3,38,no,action,variable,,,0.4646217823028564,1.0,right,1,1,8.0,0.4557909965515136,0,,,0.23,1,right,2.8
1,3,39,no,action,variable,,,0.4696779251098633,1.0,right,1,1,8.0,0.3976190090179443,0,,,0.45,1,right,1.0
1,3,40,no,action,variable,,,0.4492650032043457,2.8,right,1,1,8.0,0.4215929508209228,0,,,0.22,1,right,1.0
1,3,41,no,action,variable,,,0.4334070682525635,1.0,left,1,1,7.0,0.4996809959411621,0,,,0.51,1,right,2.8
1,3,42,no,action,variable,,,0.5033619403839111,1.0,right,1,1,8.0,0.4032239913940429,0,,,0.43,1,right,1.0
1,3,43,no,action,variable,,,0.4848580360412597,1.0,right,1,1,8.0,0.4446158409118652,0,,,0.29,1,right,1.0
1,3,44,no,action,variable,,,0.4724700450897217,1.0,right,1,1,8.0,0.3902430534362793,0,,,0.47,1,right,1.0
1,3,45,no,action,variable,,,0.5719280242919922,2.8,left,1,1,7.0,0.7685708999633789,0,,,0.43,1,right,1.0
1,3,46,no,action,variable,,,0.4042999744415283,2.8,left,1,1,7.0,0.5372340679168701,0,,,0.24,1,right,2.8
1,3,47,no,action,variable,,,0.5061688423156738,2.8,left,1,1,7.0,0.4377129077911377,0,,,0.31,1,right,2.8
