participant,block,trial,practice,condition,FPType,conFPDur,extFixDur,actionTrigLatency,FP,orientation,Acc,responseGiven,response,RT,preRespGiven,preResp,preTime,ITI,countBalance,handedness,oneBackFP,condTestPos,numFP,numOneBackFP,squaredNumFP,seqOri,prevOri,numLogFP,logFP,logOneBackFP,logRT,invRT,RTzscore,logRTzscore,scaledNumFP,squaredScaledNumFP,scaledNumOneBackFP
1,0,50,no,action,constant,short,NA,0.3860318660736084,1,right,1,1,8,0.4568860530853271,0,NA,NA,0.17,1,right,1,1,1,1,1,same,right,0,0,0,-0.3401920990257793,2.1887295382449374,-0.17879390311930218,-0.09149944053927071,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,51,no,action,constant,short,NA,0.5767929553985596,1,left,1,1,7,0.3869960308074951,0,NA,NA,0.32,1,right,1,1,1,1,1,different,right,0,0,0,-0.41229348926336884,2.584005830533786,-0.8451593336386984,-0.9080505229643939,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,52,no,action,constant,short,NA,0.4688730239868164,1,left,1,1,7,0.3714861869812011,0,NA,NA,0.77,1,right,1,1,1,1,1,same,left,0,0,0,-0.4300573300309178,2.691890129553066,-0.993037720592299,-1.1092267188598164,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,53,no,action,constant,short,NA,0.4907081127166748,1,left,1,1,7,0.3853318691253662,0,NA,NA,0.19,1,right,1,1,1,1,1,same,left,0,0,0,-0.4141650708911608,2.5951655705763956,-0.8610262596980058,-0.9292462585665037,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,54,no,action,constant,short,NA,0.5151288509368896,1,left,1,1,7,0.391402006149292,0,NA,NA,0.23,1,right,1,1,1,1,1,same,left,0,0,0,-0.40737695267562996,2.5549179214441002,-0.8031506239573228,-0.8523705525883453,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,55,no,action,constant,short,NA,0.5030720233917236,1,left,1,1,7,0.2677550315856933,0,NA,NA,0.4,1,right,1,1,1,1,1,same,left,0,0,0,-0.572262359265967,3.7347570802976913,-1.9820609569652918,-2.7197042722820615,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,1,1,no,action,variable,NA,NA,0.4215188026428222,2.8,left,1,1,7,0.5114808082580566,0,NA,NA,0.28,1,right,1,1,2.8,1,7.839999999999999,different,right,0.4471580313422192,0.447158031342219,0,-0.29117065720889296,1.9551075697359723,0.34173901916474386,0.46367031757102656,0.8979069767441858,0.8062369388858839,-0.8968347010550997
1,1,2,no,action,variable,NA,NA,0.5313889980316162,1,right,1,1,8,0.5113081932067871,0,NA,NA,0.25,1,right,2.8,1,1,2.8,1,different,left,0,0,0.4471580313422192,-0.29131724807927617,1.955767604129849,0.34009322339584147,0.46201017019397017,-0.902093023255814,0.8137718226068146,0.9031652989449002
1,1,3,no,action,variable,NA,NA,0.5533578395843506,2.8,right,1,1,8,0.7430598735809326,0,NA,NA,0.24,1,right,1,1,2.8,1,7.839999999999999,same,right,0.4471580313422192,0.447158031342219,0,-0.1289761906564241,1.3457865719229716,2.5497263474518657,2.3005290354177346,0.8979069767441858,0.8062369388858839,-0.8968347010550997
1,1,4,no,action,variable,NA,NA,0.701225996017456,1,left,1,1,7,0.3853750228881836,0,NA,NA,0.22,1,right,2.8,1,1,2.8,1,different,right,0,0,0.4471580313422192,-0.4141164364718277,2.594874967520014,-0.8606148107557803,-0.9286954718532563,-0.902093023255814,0.8137718226068146,0.9031652989449002
1,1,5,no,action,variable,NA,NA,0.4533751010894775,2.8,left,1,1,7,0.4076361656188965,0,NA,NA,0.46,1,right,1,1,2.8,1,7.839999999999999,same,left,0.4471580313422192,0.447158031342219,0,-0.3897272922025188,2.45316800701857,-0.6483662597303451,-0.6524874530216836,0.8979069767441858,0.8062369388858839,-0.8968347010550997
1,1,6,no,action,variable,NA,NA,0.4044170379638672,2.8,right,1,1,8,0.4997320175170898,0,NA,NA,0.32,1,right,2.8,1,2.8,2.8,7.839999999999999,different,left,0.4471580313422192,0.447158031342219,0.4471580313422192,-0.3012628246908062,2.0010725047566162,0.22972033974489334,0.3493761236003311,0.8979069767441858,0.8062369388858839,0.9031652989449002
1,1,7,no,action,variable,NA,NA,0.4157819747924804,1,left,1,1,7,0.5345759391784668,0,NA,NA,0.33,1,right,2.8,1,1,2.8,1,different,right,0,0,0.4471580313422192,-0.2719905923755528,1.8706416183578973,0.5619392188084394,0.6808853067555616,-0.902093023255814,0.8137718226068146,0.9031652989449002
1,1,8,no,action,variable,NA,NA,0.5163290500640869,2.8,right,1,1,8,0.4550979137420654,0,NA,NA,0.35,1,right,1,1,2.8,1,7.839999999999999,different,left,0.4471580313422192,0.447158031342219,0,-0.341895155379974,2.1973293434317243,-0.1958428924380423,-0.11078662078456476,0.8979069767441858,0.8062369388858839,-0.8968347010550997
1,1,9,no,action,variable,NA,NA,0.570828914642334,1,left,1,1,7,0.3761520385742187,0,NA,NA,0.27,1,right,2.8,1,1,2.8,1,different,right,0,0,0.4471580313422192,-0.42463658015840505,2.6584994827900945,-0.9485512244632665,-1.0478365131873537,-0.902093023255814,0.8137718226068146,0.9031652989449002
1,1,10,no,action,variable,NA,NA,0.6020798683166504,1,right,1,1,8,0.4357140064239502,0,NA,NA,0.35,1,right,1,1,1,1,1,different,left,0,0,0,-0.3607984790478097,2.2950834383483163,-0.3806584830503362,-0.3248675053769466,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,1,11,no,action,variable,NA,NA,0.6055130958557129,2.8,left,1,1,7,0.5237851142883301,0,NA,NA,0.48,1,right,1,1,2.8,1,7.839999999999999,different,right,0.4471580313422192,0.447158031342219,0,-0.280846848167945,1.909179876863637,0.45905425126628246,0.5805878613154393,0.8979069767441858,0.8062369388858839,-0.8968347010550997
1,1,12,no,action,variable,NA,NA,0.4451990127563476,1,left,1,1,7,0.8004469871520996,0,NA,NA,0.73,1,right,2.8,1,1,2.8,1,same,left,0,0,0.4471580313422192,-0.09666742570557872,1.2493019725864514,3.0968829714560555,2.6664270701920727,-0.902093023255814,0.8137718226068146,0.9031652989449002
1,1,13,no,action,variable,NA,NA,0.5199379920959473,1,right,1,1,8,0.436633825302124,0,NA,NA,0.46,1,right,1,1,1,1,1,different,left,0,0,0,-0.3598826232465866,2.290248583714422,-0.37188848294477633,-0.31449540237907436,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,1,14,no,action,variable,NA,NA,0.3664271831512451,2.8,left,1,1,7,0.5055038928985596,0,NA,NA,0.37,1,right,1,1,2.8,1,7.839999999999999,different,right,0.4471580313422192,0.447158031342219,0,-0.29627549554705906,1.978224132490849,0.2847522040672111,0.40585782245964025,0.8979069767441858,0.8062369388858839,-0.8968347010550997
